# TOTAL_GENES = 16871
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Adipose_Subcutaneous                COVAR   16871    0.0038691    0.0076819     0.010359      0.35439 Adipose_Subcutaneous
Adipose_Visceral_Omentum            COVAR   16871    0.0038437    0.0074239      0.01069       0.3596 Adipose_Visceral_Omentum
Adrenal_Gland                       COVAR   16871    0.0022672    0.0043564    0.0096452      0.40708 Adrenal_Gland
Artery_Aorta                        COVAR   16871   -0.0076181    -0.015474    0.0097841      0.78189 Artery_Aorta
Artery_Coronary                     COVAR   16871   -0.0099451    -0.019687     0.011328      0.81001 Artery_Coronary
Artery_Tibial                       COVAR   16871    -0.012496    -0.025621    0.0096109      0.90322 Artery_Tibial
Bladder                             COVAR   16871   -0.0098827    -0.019144     0.012499      0.78542 Bladder
Brain_Amygdala                      COVAR   16871    0.0056618    0.0096027    0.0075232      0.22586 Brain_Amygdala
Brain_Anterior_cingulate_cor...     COVAR   16871    0.0034813    0.0061221    0.0069292      0.30769 Brain_Anterior_cingulate_cortex_BA24
Brain_Caudate_basal_ganglia         COVAR   16871    0.0033154    0.0056988    0.0075506       0.3303 Brain_Caudate_basal_ganglia
Brain_Cerebellar_Hemisphere         COVAR   16871    0.0042364    0.0084677    0.0057976      0.23249 Brain_Cerebellar_Hemisphere
Brain_Cerebellum                    COVAR   16871    0.0034819    0.0068813     0.005983       0.2803 Brain_Cerebellum
Brain_Cortex                        COVAR   16871    0.0015504    0.0028135    0.0068443       0.4104 Brain_Cortex
Brain_Frontal_Cortex_BA9            COVAR   16871    0.0026318    0.0048254    0.0065995      0.34502 Brain_Frontal_Cortex_BA9
Brain_Hippocampus                   COVAR   16871    0.0051944    0.0087547    0.0076455      0.24845 Brain_Hippocampus
Brain_Hypothalamus                  COVAR   16871   0.00058493    0.0010008    0.0077907      0.47008 Brain_Hypothalamus
Brain_Nucleus_accumbens_basa...     COVAR   16871    0.0010672    0.0018429    0.0072902      0.44181 Brain_Nucleus_accumbens_basal_ganglia
Brain_Putamen_basal_ganglia         COVAR   16871     0.003564     0.006039    0.0076033      0.31963 Brain_Putamen_basal_ganglia
Brain_Spinal_cord_cervical_c...     COVAR   16871   8.6539e-05    0.0001547    0.0082622      0.49582 Brain_Spinal_cord_cervical_c-1
Brain_Substantia_nigra              COVAR   16871    0.0022427    0.0038423    0.0082392      0.39274 Brain_Substantia_nigra
Breast_Mammary_Tissue               COVAR   16871    0.0024727    0.0047259     0.012147      0.41935 Breast_Mammary_Tissue
Cells_Cultured_fibroblasts          COVAR   16871    0.0056843     0.012148    0.0062447      0.18135 Cells_Cultured_fibroblasts
Cells_EBV-transformed_lympho...     COVAR   16871    0.0037707    0.0082141    0.0046416      0.20829 Cells_EBV-transformed_lymphocytes
Cervix_Ectocervix                   COVAR   16871      -0.0132    -0.025714     0.011586      0.87269 Cervix_Ectocervix
Cervix_Endocervix                   COVAR   16871   -0.0047015   -0.0092489      0.01104      0.66489 Cervix_Endocervix
Colon_Sigmoid                       COVAR   16871    -0.016241    -0.031604     0.011941      0.91309 Colon_Sigmoid
Colon_Transverse                    COVAR   16871    -0.011575    -0.021143     0.011082      0.85186 Colon_Transverse
Esophagus_Gastroesophageal_J...     COVAR   16871    -0.017526    -0.034332     0.012264       0.9235 Esophagus_Gastroesophageal_Junction
Esophagus_Mucosa                    COVAR   16871    0.0056893     0.010942    0.0072679      0.21688 Esophagus_Mucosa
Esophagus_Muscularis                COVAR   16871    -0.014613    -0.028686     0.011892      0.89042 Esophagus_Muscularis
Fallopian_Tube                      COVAR   16871   -0.0042164   -0.0081271     0.011346      0.64491 Fallopian_Tube
