GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P
ENSG00000187634	1	860260	879955	22	7	716517	0.091252	0.46365
ENSG00000188976	1	879584	894689	39	5	716517	0.87859	0.18981
ENSG00000187961	1	895967	901095	8	3	716517	0.76738	0.22143
ENSG00000187583	1	901877	911245	17	7	716517	1.6212	0.052493
ENSG00000187642	1	910579	917497	20	4	716517	0.3757	0.35357
ENSG00000188290	1	934342	935552	2	1	716517	1.3042	0.096076
ENSG00000187608	1	948803	949920	6	2	716517	-1.1956	0.88408
ENSG00000188157	1	955503	991496	88	8	716517	0.90356	0.18311
ENSG00000237330	1	1006346	1009687	7	2	716517	0.79072	0.21455
ENSG00000131591	1	1017198	1051741	112	8	716517	0.51177	0.30441
ENSG00000162571	1	1109264	1133315	131	14	716517	1.5091	0.06564
ENSG00000186891	1	1138888	1142071	10	2	716517	1.7367	0.041219
ENSG00000186827	1	1146706	1149518	9	3	716517	2.2238	0.013082
ENSG00000078808	1	1152288	1167411	91	4	716517	2.1828	0.014526
ENSG00000176022	1	1167629	1170421	8	2	716517	1.3933	0.081767
ENSG00000184163	1	1177826	1182102	10	2	716517	1.2514	0.10539
ENSG00000160087	1	1189289	1209265	38	4	716517	2.597	0.0047022
ENSG00000162572	1	1215816	1227409	26	8	716517	2.0858	0.018499
ENSG00000131584	1	1227756	1244989	35	5	716517	0.81757	0.2068
ENSG00000169972	1	1243947	1247057	3	2	716517	-0.46525	0.67912
ENSG00000127054	1	1246965	1260071	16	4	716517	-0.59325	0.72349
ENSG00000224051	1	1260136	1264277	10	2	716517	-0.23634	0.59341
ENSG00000169962	1	1266694	1270686	13	4	716517	-0.7371	0.76947
ENSG00000107404	1	1270656	1284730	32	5	716517	-0.52589	0.70052
ENSG00000162576	1	1288069	1297157	24	4	716517	-0.12246	0.54873
ENSG00000175756	1	1309110	1310875	8	3	716517	0.56395	0.28639
ENSG00000221978	1	1321091	1334708	14	3	716517	0.096747	0.46146
ENSG00000242485	1	1337288	1342693	10	4	716517	0.52572	0.29954
ENSG00000235098	1	1353800	1357149	6	2	716517	-0.29385	0.61556
ENSG00000205116	1	1361508	1363167	4	2	716517	-0.8523	0.80298
ENSG00000179403	1	1370241	1378262	12	2	716517	-0.47442	0.6824
ENSG00000215915	1	1385069	1405538	28	3	716517	-0.042205	0.51683
ENSG00000160072	1	1407143	1433228	22	2	716517	0.11383	0.45468
ENSG00000197785	1	1447531	1470067	40	4	716517	0.65223	0.25713
ENSG00000205090	1	1470554	1475833	7	2	716517	0.29838	0.38271
ENSG00000160075	1	1477053	1510249	80	7	716517	0.52801	0.29875
ENSG00000197530	1	1550795	1565990	3	1	716517	0.48446	0.31403
ENSG00000189339	1	1592939	1624167	22	2	716517	1.4157	0.078433
ENSG00000008128	1	1634169	1655766	62	2	716517	0.6938	0.2439
ENSG00000215790	1	1656277	1677431	19	1	716517	0.64924	0.25809
ENSG00000008130	1	1682671	1711896	59	6	716517	-0.62017	0.73243
ENSG00000078369	1	1716729	1822495	123	11	716517	-1.1837	0.88174
ENSG00000169885	1	1846266	1848735	11	3	716517	-1.6391	0.9494
ENSG00000178821	1	1849029	1850712	6	3	716517	-0.3467	0.63559
ENSG00000142609	1	1853396	1935276	241	20	716517	-0.56061	0.71247
ENSG00000187730	1	1950780	1962192	17	3	716517	0.36692	0.35684
ENSG00000067606	1	1981909	2116834	352	20	716517	0.4547	0.32466
ENSG00000162585	1	2115903	2144159	43	7	716517	0.78802	0.21534
ENSG00000157933	1	2160134	2241558	218	35	716517	0.21373	0.41538
ENSG00000116151	1	2252692	2323146	313	31	716517	-0.6064	0.72788
ENSG00000157916	1	2323267	2336883	38	11	716517	0.34799	0.36393
ENSG00000157911	1	2336236	2345236	25	8	716517	0.77944	0.21786
ENSG00000149527	1	2357419	2436969	235	37	716517	1.21	0.11313
ENSG00000157881	1	2439972	2458039	41	6	716517	-0.89837	0.81551
ENSG00000197921	1	2460184	2461684	3	2	716517	0.96577	0.16708
ENSG00000157873	1	2487078	2496821	21	4	716517	0.92687	0.177
ENSG00000157870	1	2517930	2522908	10	3	716517	0.90191	0.18355
ENSG00000142606	1	2522078	2564481	159	8	716517	0.92289	0.17803
