ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	eqtlMapSNPs	eqtlMapminP	eqtlMapminQ	eqtlMapts	eqtlDirection	ciMap	ciMapts	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000134013	LOXL2	8	23154702	23282841	-1	protein_coding	4017	LOXL2	2.99731375478488e-07	0.572224733	0	0	0	NA	NA	NA	NA	Yes	Mesendoderm	3.206e-07	rs4871939	1
ENSG00000197217	ENTPD4	8	23243296	23315208	-1	protein_coding	9583	ENTPD4	2.06793054504749e-11	1.388054511	0	0	0	NA	NA	NA	NA	Yes	Mesendoderm	3.206e-07	rs4871939	1
ENSG00000104722	NEFM	8	24770525	24776607	1	protein_coding	4741	NEFM	0.0359563283297322	-0.794973583	0	0	0	NA	NA	NA	NA	Yes	Mesendoderm	4.34e-09	rs4871939	1
ENSG00000147459	DOCK5	8	25042238	25275598	1	protein_coding	80005	DOCK5	0.00134268610814527	0.530029305	9	12.21	0	NA	NA	NA	NA	Yes	IMR90:Mesenchymal_Stem_Cell	9.065e-10	rs4871939	1
ENSG00000147437	GNRH1	8	25276776	25282170	-1	protein_coding	2796	GNRH1	0.0986916060732056	-0.756202446	3	12.21	0	NA	NA	NA	NA	Yes	IMR90:Mesenchymal_Stem_Cell:Mesendoderm:hESC	9.065e-10	rs4871939	1
ENSG00000104756	KCTD9	8	25285366	25315992	-1	protein_coding	54793	KCTD9	0.0733968308677995	-0.470139629	5	12.21	0	NA	NA	NA	NA	Yes	IMR90:Mesenchymal_Stem_Cell:Mesendoderm:hESC	4.34e-09	rs4871939	1
ENSG00000184661	CDCA2	8	25316513	25365436	1	protein_coding	157313	CDCA2	1.61084700624997e-05	-0.342441447	4	9.281	0	NA	NA	NA	NA	Yes	IMR90:Mesenchymal_Stem_Cell:Mesendoderm:hESC	1.203e-08	rs4871939	1
ENSG00000221818	EBF2	8	25699246	25902913	-1	protein_coding	64641	EBF2	0.971965790083313	-0.134720529	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Neural_Progenitor_Cell:Trophoblast-like_Cell:hESC	4.34e-09	rs4871939	1
ENSG00000221914	PPP2R2A	8	26149007	26230196	1	protein_coding	5520	PPP2R2A	0.959642692100134	-0.45381667	0	0	0	NA	NA	NA	NA	Yes	Mesenchymal_Stem_Cell:Mesendoderm	4.34e-09	rs4871939	1
ENSG00000104765	BNIP3L	8	26240414	26363152	1	protein_coding	665	BNIP3L	0.330817931436664	-0.772237349	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell	4.34e-09	rs4871939	1
